regimen_fd,n,MAE_W,RMSE_W,Bias_W,R2,Error_relativo_promedio,P_ref_promedio_W,P_NOCT_promedio_W,fd_promedio
baja_fd,1349,20.42431730417046,23.970221144223895,-14.540440010898786,0.9589127660723585,0.029840332341601713,673.9032483320979,659.3628083211992,0.19599289374593656
mixto,1124,7.883213556772155,9.670185598800531,2.4999305601659874,0.996684075642445,0.030667386745082383,362.0676396797153,364.5675702398813,0.4868992632516913
alta_fd,1215,6.699546065703165,7.376899957735693,6.596803281184798,0.9952725144992096,0.051484727153860516,175.92680000000001,182.5236032811848,0.9158032970549316
