variable_error,corr_pearson_con_fd,corr_spearman_con_fd
epsilon,-0.5686172859296956,-0.5856266322535466
abs_epsilon,-0.5314535032633141,-0.5262766335368793
relative_error,0.3590497607606465,0.31188293450766374
